carrera,institucion,direccion,ciudad,region,latitud,longitud,arancel,duracion_formal,duraccion_real,grado,acreditacion_institucion,acreditacion_carrera,porcentaje_procedencia_subvencionado,procentaje_retencion_primero
Diseño Gráfico,IP SANTO TOMAS,Av. Ramon Picarte 1160,Valdivia,Los Ríos,"-39,817491","-73,233502",1610200,8 semestres,—,Profesional,3 años,4 años,"98,3",—
Diseño Gráfico,IP SANTO TOMAS,Buena Vecindad 91,Puerto Montt,Los Lagos,"-41,471524","-72,928832",1552900,8 semestres,—,Profesional,3 años,4 años,"98,3",—
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,Río Copiapó Sur 2351,Copiapo,Atacama,-27351285,"-70,353583",1612500,5 semestres,"7,8 semestres",Técnico Superior,3 años,5 años,40,"60,9"
Diseño,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,El Comendador 1916,Santiago,Metropolitana,"-33,420252","-70,618093",4775000,10 semestres,12 semestres,Profesional,7 años,7 años,"18,7",93
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Brasil 2950,Valparaíso,Valparaíso,"-33,044542","-71,606263",4061000,9 semestres,—,Profesional,7 años,5 ños,"54,2",—
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Brasil 2950,Valparaíso,Valparaíso,"-33,044542","-71,606263",4061000,9 semestres,—,Profesional,7 años ,5 años,"58,5",—
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,Diagonal Las Torres 2640,Santiago,Metropolitana,"-33,486212","-70,520975",5000236,10 semestres,—,Profesional,5 años,no acreditada,"10,8",—
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,Fernández Concha 700,Santiago,Metropolitana,"-33,374903","-70,505396",4525151,8 semestres,—,Profesional,4 años,no acreditada,57,—
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,Av. Las Condes 11121,Santiago,Metropolitana,"-33,378727","-70,528683",4525151,8 semestres,—,Profesional,4 años,no acreditada,"54,4",—
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO, Quillota 980,Viña del Mar,Valparaíso,"-33,014389","-71,543464",4525151,9 semestres,12 semestres,Profesional,4 años ,no acreditada,"66,9","67,8"
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,Av. Las Condes 11121,Santiago,Metropolitana,"-33,378727","-70,528683",3755876,8 semestres,12 semestres,Profesional,4 años,no acreditada,"66,9","67,8"
Diseño (NN),UNIVERSIDAD AUSTRAL DE CHILE,Independencia 641,Valdivia,Los Ríos,"-39,815468","-73,247378",—,—,—,Profesional,6 años,no acreditada,—,—
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,Av. Alemania 0422,Temuco,Araucanía,"-38,735801","-72,607459",3108000,10 semestres,—,Profesional,4 años ,4 años,"63,1",—
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION",Av. Salvador 1200,Santiago,Metropolitana,"-33,444341",-70623268,3480000,10 semestres,—,Profesional,no acreditada,2 años,"71,2","72,4"
Diseño Gráfico,UNIVERSIDAD DE CHILE,Av Portugal 84,Santiago,Metropolitana,"-33,442279","-70,638175",3698700,10 semestres,"15,3 semestres",Profesional,7 años,5 años ,"70,6","68,7"
Diseño Industrial,UNIVERSIDAD DE CHILE,"Av Portugal 84, Santiago, Región Metropolitana, Chile",Santiago,Metropolitana,"-33,442279","-70,638175",3698700,10 semestres,"15,3 semestres",Profesional,7 años,5 años ,"70,6","68,7"
Diseño Teatral,UNIVERSIDAD DE CHILE,Compañía 1264,Santiago,Metropolitana,"-33,439084","-70,654721",2794000,10 semestres,—,Profesional,no acreditada,no acreditada,—,—
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,Benavente 980,La Serena,Coquimbo,"-29,909163","-71,246865",2490216,10 semestres,—,Profesional,4 años,4 años,"93,9","64,1"
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,Av. Manuel Montt 948,Santiago,Metropolitana,"-33,436895","-70,616137",2940250,8 semestres,—,Profesional,3 años,no acreditada,"75,8",—
Diseño,UNIVERSIDAD DE TALCA,2 Norte 685,Talca,Maule,"-35,425552","-71,645105",3044500,9 semestres,—,Profesional,5 años,5 años,"91,5",50
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,Av. General Velásquez 1775,Arica,Arica y Parinacota,"-18,470976","-70,311415",2477000,8 semestres,—,Profesional,5 años,5 años,"64,7",—
Diseño,UNIVERSIDAD DE VALPARAISO,—,—,Valparaíso,—,—,—,10 semestres,"17,6 semestres",—,5 años,5 años,—,—
Diseño,UNIVERSIDAD DE VIÑA DEL MAR,—,—,Valparaíso,—,—,—,9 semestres,—,—,—,—,"10,4",—
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,"Av. Casilla 5-C, Collao 1202",Chillán,Bío Bío,"-36,822781","-73,011506",2574000,10 semestres,"13,7 semestres",Profesional,5 años,5 años,"98,8","84,4"
Diseño,UNIVERSIDAD DEL DESARROLLO,Av. Plaza 700,Santiago,Metropolitana,"-36,821529","-73,037033",5955927,10 semestres,"12,3 semestres",Profesional,5 años,6 años,"10,4","81,5"
Diseño,UNIVERSIDAD DEL DESARROLLO,Ainavillo 456,Concepción,Bío Bío,"-33,50042","-70,561479",3688955,10 semestres,"12,3 semestres",Profesional,5 años,6 años,—,"81,5"
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,Av. Las Condes 11121,Santiago,Metropolitana,"-33,378727","-70,528683",4100000,9 semestres,—,Profesional,no acreditada,4 años,"24,3",—
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,Av. Las Condes 11121,Santiago,Metropolitana,"-33,378727","-70,528683",3990000,9 semestres,"11,6 semestres",Profesional,no acreditada,5 años,"30,1",—
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,Av. Las Condes 11121,Santiago,Metropolitana,"-33,378727",-70528683,4538000,9 semestres,"10,3 semestres",Profesional,no acreditada,5 años,"15,4","74,1"
Diseño,UNIVERSIDAD DIEGO PORTALES,Av. República 180,Santiago,Metropolitana,"-33,450698","-70,667505",4581000,10 semestres,13 semestres,Profesional,5 años,6 años,"41,7","74,7"
Diseño,UNIVERSIDAD FINIS TERRAE,Av. Pedro de Valdivia 1224,Santiago,Metropolitana,"-33,434233","-70,608479",4256000,9 semestres,"11,9 semestres",Profesional,4 años,no acreditada,"40,7","85,2"
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,Av. Ricardo Lyon 1177,Santiago,Metropolitana,"-33,431892","-70,606076",2990000,9 semestres,—,Profesional,2 años,no acreditada,"61,1",—
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,Portugal 351,Santiago,Metropolitana,"-33,447138","-70,635533",4371000,10 semestres,—,Profesional,5 años,no acreditada,"64,2","71,1"
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Dieciocho 161,Santiago,Metropolitana,"-33,448481","-70,657966",2921858,10 semestres,"17,6 semestres",Profesional,4 años,5 años,"95,1","77,8"
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Dieciocho 161,Santiago,Metropolitana,"-33,448481","-70,657966",3000547,10 semestres,"15,9	semestres",Profesional,4 años,6 años,"94,9","76,1"
